Id,Neighborhood,base_predicted_arv,interval_low_90,interval_high_90,correlational_verdict,causal_verdict,correlational_tier,causal_tier,correlational_uplift,causal_uplift,correlational_expected_profit,causal_expected_profit,expected_profit_delta,correlational_prob_loss,causal_prob_loss,verdict_changed,flip_direction
637,BrkSide,59481.44608281955,45880.30190408344,139906.03234713184,DECLINE,DECLINE,moderate,substantial,5948.14460828196,21414.68,17374.68724267323,20603.192337302018,3228.5050946287884,0.2862,0.2341,False,
364,BrDale,105263.1955702649,81904.1670022777,150760.90992360303,DECLINE,DECLINE,substantial,substantial,18947.375202647672,21414.68,34507.736216145495,35127.19652367777,619.4603075322739,0.0818,0.0473,False,
1292,BrDale,120821.93823309196,104035.93915727553,149047.08094463887,APPROVE,APPROVE,substantial,substantial,21747.948881956545,21414.68,39137.431134988605,39050.711419685016,-86.7197153035886,0.0075,0.0017,False,
734,Sawyer,132742.71921061672,117217.98648131522,151494.87866705455,APPROVE,APPROVE,substantial,substantial,23893.68945791101,21414.68,42424.025956836784,41836.25673289915,-587.7692239376338,0.0003,0.0,False,
1171,Mitchel,143847.6869504273,126962.86756991268,165274.10332976305,APPROVE,APPROVE,substantial,substantial,25892.583651076915,21414.68,45665.0092468892,44583.01526160168,-1081.993985287525,0.0003,0.0001,False,
756,Somerst,167022.47276176425,140181.35723418926,182457.9584012476,APPROVE,APPROVE,substantial,substantial,30064.045097117545,21414.68,51760.65027247202,49748.47811471077,-2012.172157761248,0.0003,0.0,False,
1043,NridgHt,189482.3960159532,163575.48373950287,205495.391232126,APPROVE,APPROVE,substantial,substantial,34106.83128287157,21414.68,58179.3749367324,55187.783525769875,-2991.591410962523,0.0,0.0,False,
454,Somerst,215764.89010722892,168963.04658061583,240126.78003986823,DECLINE,DECLINE,substantial,substantial,38837.6802193012,21414.68,65312.21033845668,61234.14061913156,-4078.069719325118,0.0052,0.0028,False,
71,NAmes,274215.3924454051,170116.9224462095,444439.83035791473,DECLINE,DECLINE,substantial,substantial,49358.77064017288,21414.68,81368.56877495162,74839.75306251708,-6528.815712434545,0.2049,0.1861,False,
692,NoRidge,487292.1525927276,179275.59519554442,592046.8383293274,DECLINE,DECLINE,substantial,substantial,87712.58746669098,21414.68,142778.53088786823,126883.02003098934,-15895.510856878886,0.1665,0.1568,False,
